Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,3.0,0.0
2,0.33333334,6.3333335,0.33333334
3,14.166667,23.5,11.833333
4,36.5,46.1,30.8
5,60.333332,69.86667,52.8
6,91.61905,101.57143,80.61905
7,122.82143,132.32143,109.07143
8,146.02777,154.69444,130.27777
9,180.53334,189.08888,163.35556
10,229.36363,238.29091,208.21819
11,263.5606,272.4091,238.24243
12,318.02563,327.03845,284.33334
13,386.7912,396.13187,345.64835
14,457.37143,466.8381,408.01904
15,523.4583,532.925,466.925
16,597.57355,607.05145,532.9044
17,676.0,685.33984,601.96075
18,773.7368,783.27484,690.6608
19,851.2,860.70526,763.1053
20,934.7619,944.2286,839.8571
21,1028.5541,1038.0433,920.0433
22,1123.419,1132.9329,1002.3083
23,1194.9131,1204.2211,1068.8949
24,1294.79,1304.09,1160.6833
25,1399.3169,1408.6,1258.5939
26,1491.396,1500.5726,1344.3276
27,1591.8413,1600.9365,1438.7434
28,1681.5739,1690.5172,1522.1108
29,1809.9701,1818.9242,1640.4
30,1947.557,1956.5054,1766.0494
31,2062.9275,2071.8225,1874.8246
32,2185.697,2194.568,1986.214
33,2322.121,2330.9626,2110.041
34,2453.7463,2462.5984,2226.2856
35,2589.0508,2597.8953,2348.8318
36,2718.4414,2727.2163,2467.2312
37,2877.32,2886.1096,2611.4011
38,2982.776,2991.4656,2710.7449
39,3126.5706,3135.2449,2841.7666
40,3290.605,3299.272,2993.9585
41,3472.4355,3481.1406,3160.3054
42,3634.4995,3643.175,3310.32
43,3804.3076,3812.9905,3464.0168
44,3946.2444,3954.8848,3595.5393
45,4126.2427,4134.845,3764.285
46,4291.8037,4300.396,3914.7817
47,4514.89,4523.5283,4123.5576
48,4712.609,4721.244,4307.2603
49,4927.4463,4936.119,4502.9746
50,5132.498,5141.167,4690.5483
