Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,9.0,0.0
2,5.3333335,11.666667,5.3333335
3,9.833333,15.333333,9.5
4,25.3,33.2,22.0
5,39.6,47.333332,31.6
6,56.38095,64.0,45.285713
7,90.71429,98.82143,75.96429
8,127.97222,136.5,106.27778
9,161.86667,170.22223,132.06667
10,211.61818,220.29091,164.96364
11,231.89394,239.92424,183.89394
12,270.35898,278.3718,218.1923
13,326.45056,334.5934,264.76923
14,377.3143,385.30475,311.8762
15,421.90833,429.74167,347.03333
16,503.08087,511.125,415.83087
17,566.1699,574.17645,466.1634
18,637.4035,645.4269,523.9883
19,702.68945,710.62103,579.20526
20,775.19525,783.09045,638.88574
