Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,3.0,0.0
2,0.33333334,6.3333335,0.33333334
3,16.666666,26.0,9.833333
4,39.2,48.8,27.4
5,64.0,73.53333,46.466667
6,96.61905,106.57143,70.666664
7,126.82143,136.32143,95.53571
8,147.75,156.41667,113.416664
9,182.2889,190.84445,143.06667
10,234.12727,243.05455,184.32727
11,268.33334,277.18182,209.37878
12,324.64102,333.65384,249.28206
13,396.76923,406.1099,305.3187
14,469.33334,478.8,360.4381
15,535.875,545.3417,411.30832
16,611.0441,620.52203,470.35294
17,687.34644,696.6863,529.98694
18,789.6667,799.20465,611.9415
19,868.65265,878.1579,676.8842
20,952.2714,961.7381,745.4286
21,1048.4155,1057.9048,814.39825
22,1145.8142,1155.328,884.99603
23,1215.4711,1224.7789,941.23553
24,1318.51,1327.81,1022.36334
25,1425.3108,1434.5939,1110.1538
26,1516.3846,1525.5613,1184.7294
27,1615.0106,1624.1058,1267.4259
28,1701.7783,1710.7217,1338.6576
29,1833.1816,1842.1356,1445.9977
30,1972.6903,1981.6387,1558.6129
31,2087.5503,2096.4456,1656.125
32,2213.7747,2222.6458,1753.4584
33,2350.264,2359.1052,1863.2246
34,2485.3833,2494.2354,1964.0891
35,2625.8015,2634.646,2071.8699
36,2751.2478,2760.0225,2172.6997
37,2913.1238,2921.9133,2301.717
38,3015.2957,3023.985,2387.4277
39,3160.8948,3169.5693,2501.073
40,3327.5916,3336.2585,2636.55
41,3516.7874,3525.4924,2785.8396
42,3679.669,3688.3445,2916.6245
43,3853.2622,3861.945,3052.205
44,3996.097,4004.7373,3167.5576
45,4174.9536,4183.5566,3317.6821
46,4343.0073,4351.5996,3448.3135
47,4573.985,4582.623,3643.0603
48,4774.5747,4783.21,3806.716
49,4998.39,5007.063,3982.009
50,5208.1406,5216.8096,4147.7827
