Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,9.0,0.0
2,5.3333335,11.666667,5.3333335
3,9.833333,15.333333,9.833333
4,24.3,32.2,23.3
5,39.133335,46.866665,35.333332
6,55.42857,63.04762,50.190475
7,90.17857,98.28571,83.10714
8,126.111115,134.63889,115.69444
9,159.15555,167.51111,144.73334
10,206.27272,214.94545,182.27272
11,228.89394,236.92424,204.0303
12,267.20514,275.21796,240.91026
13,322.41757,330.56042,291.13187
14,375.14285,383.13333,341.58096
15,419.625,427.45834,381.55832
16,499.2353,507.27942,454.79413
17,561.37256,569.3791,510.22223
18,631.1813,639.20465,573.9825
19,697.34735,705.27893,635.2263
20,767.2,775.0952,700.3381
