Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,3.0,0.0
2,0.33333334,6.3333335,0.33333334
3,13.833333,23.166666,11.5
4,34.8,44.4,30.2
5,59.066666,68.6,51.466667
6,90.71429,100.666664,78.42857
7,121.71429,131.21428,106.10714
8,144.02777,152.69444,126.388885
9,178.55556,187.11111,158.88889
10,228.4,237.32727,203.09091
11,263.5,272.34848,231.92424
12,318.55127,327.56412,276.32053
13,388.6044,397.94507,336.47253
14,459.6381,469.10477,397.21906
15,526.36664,535.8333,454.075
16,600.16174,609.6397,518.19116
17,678.26794,687.60785,584.84314
18,777.0877,786.62573,672.1462
19,853.9105,863.4158,743.0526
20,936.67145,946.1381,818.1
21,1030.4329,1039.9221,895.658
22,1125.2609,1134.7747,975.1186
23,1197.2355,1206.5435,1039.4602
24,1299.1167,1308.4166,1128.9567
25,1404.6862,1413.9692,1224.7539
26,1496.6439,1505.8206,1307.9829
27,1596.0106,1605.1058,1399.881
28,1684.803,1693.7463,1480.4359
29,1814.1954,1823.1494,1596.4735
30,1953.671,1962.6194,1719.0537
31,2067.5947,2076.49,1825.3508
32,2191.6685,2200.5398,1933.625
33,2327.4207,2336.262,2054.287
34,2459.5564,2468.4084,2167.1328
35,2596.627,2605.4714,2286.5222
36,2724.5076,2733.2822,2400.9924
37,2883.5933,2892.3826,2541.7312
38,2989.3616,2998.0513,2638.0999
39,3134.4795,3143.1538,2765.3845
40,3298.889,3307.5562,2914.1328
41,3482.9697,3491.6748,3076.8896
42,3646.1418,3654.8174,3222.7773
43,3817.3984,3826.0813,3372.515
44,3960.594,3969.2344,3500.507
45,4139.9556,4148.5586,3665.1924
46,4306.284,4314.876,3811.383
47,4530.117,4538.7554,4017.3306
48,4728.4473,4737.0825,4196.758
49,4946.0537,4954.7266,4388.1055
50,5152.855,5161.524,4570.92
