Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,3.0,0.0
2,0.33333334,6.3333335,0.33333334
3,14.166667,23.5,11.333333
4,35.5,45.1,29.8
5,59.933334,69.46667,50.666668
6,92.14286,102.09524,77.14286
7,123.35714,132.85715,104.25
8,145.47223,154.13889,124.19444
9,179.75555,188.31111,156.24445
10,230.72728,239.65454,199.89091
11,265.4697,274.31818,228.0
12,321.71796,330.73077,271.65384
13,392.30768,401.64835,330.989
14,463.3143,472.78094,390.72382
15,529.99164,539.4583,446.40833
16,604.5073,613.9853,509.52206
17,682.5621,691.902,574.93463
18,782.0351,791.5731,661.51465
19,859.66315,869.1684,731.5895
20,943.2238,952.6905,805.5857
21,1038.1083,1047.5974,881.5974
22,1134.2451,1143.7589,959.46643
23,1205.3914,1214.6992,1022.4783
24,1307.1167,1316.4166,1110.6866
25,1414.157,1423.44,1205.2616
26,1505.5128,1514.6895,1287.0427
27,1605.6641,1614.7593,1377.5027
28,1693.6552,1702.5985,1456.5024
29,1823.062,1832.0161,1571.1403
30,1962.843,1971.7914,1692.0043
31,2075.9797,2084.875,1796.9335
32,2200.0342,2208.9053,1903.4697
33,2336.3066,2345.148,2022.3386
34,2468.9143,2477.7664,2133.2825
35,2607.4062,2616.2507,2250.743
36,2735.3032,2744.0781,2362.9714
37,2895.4636,2904.2532,2501.7354
38,2999.5413,3008.2307,2596.4224
39,3144.2654,3152.9397,2721.4795
40,3309.7195,3318.3865,2868.0232
41,3495.2986,3504.0034,3028.676
42,3658.8538,3667.5293,3172.0542
43,3830.2864,3838.9692,3319.3372
44,3973.5596,3982.2,3445.2424
45,4152.4214,4161.024,3607.538
46,4318.8647,4327.457,3751.1997
47,4543.8945,4552.5327,3955.282
48,4742.804,4751.4395,4132.2534
49,4962.4595,4971.1323,4321.153
50,5170.4434,5179.1123,4501.276
