Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,3.0,0.0
2,0.33333334,6.3333335,0.33333334
3,16.333334,25.666666,9.0
4,38.4,48.0,24.7
5,61.733334,71.26667,43.533333
6,94.85714,104.809525,66.95238
7,125.10714,134.60715,91.42857
8,146.05556,154.72223,108.861115
9,181.04445,189.6,138.08888
10,233.03636,241.96364,178.14546
11,267.42426,276.27274,202.31818
12,323.83334,332.84616,241.17949
13,396.2088,405.54944,296.011
14,469.00952,478.4762,349.82858
15,535.39166,544.85834,399.29166
16,610.6103,620.08826,457.06616
17,686.8497,696.1895,515.01306
18,789.88306,799.4211,595.7427
19,868.4105,877.9158,659.38947
20,952.1905,961.65717,726.3143
21,1048.4199,1057.909,793.3723
22,1145.9841,1155.498,862.00793
23,1215.2391,1224.5471,916.337
24,1318.12,1327.42,995.4533
25,1425.0369,1434.32,1081.1354
26,1515.7435,1524.9203,1153.4758
27,1613.9973,1623.0927,1233.7063
28,1700.8497,1709.7931,1302.6798
29,1832.531,1841.4851,1407.6252
30,1971.9463,1980.8947,1517.6903
31,2087.4878,2096.383,1612.7197
32,2213.9336,2222.805,1707.2974
33,2350.262,2359.1033,1814.2745
34,2485.7312,2494.5833,1912.1445
35,2626.2651,2635.1096,2017.0571
36,2751.6035,2760.3784,2114.539
37,2914.212,2923.0015,2240.5647
38,3015.788,3024.4778,2323.4292
39,3161.3308,3170.0051,2433.5898
40,3327.8086,3336.4756,2565.6865
41,3517.9187,3526.6238,2711.4844
42,3680.7507,3689.4263,2838.455
43,3854.7463,3863.4292,2970.6216
44,3997.9585,4006.5989,3082.705
45,4176.381,4184.9834,3229.0242
46,4344.6494,4353.241,3355.6467
47,4576.516,4585.1543,3547.0603
48,4777.4785,4786.114,3706.5247
49,5002.1543,5010.827,3877.7207
50,5212.589,5221.258,4039.2393
