Process Count,Average Waiting Time,Average Turnaround Time,Average Response Time
1,0.0,3.0,0.0
2,0.33333334,6.3333335,0.33333334
3,14.166667,23.5,11.0
4,35.7,45.3,29.1
5,59.4,68.933334,49.133335
6,92.57143,102.52381,74.47619
7,123.75,133.25,100.53571
8,145.61111,154.27777,119.30556
9,179.64444,188.2,150.26666
10,230.47273,239.4,192.6909
11,264.4091,273.25757,219.18182
12,320.19232,329.20514,261.07693
13,390.93405,400.27472,318.93405
14,461.9524,471.41904,376.58096
15,529.25836,538.725,430.00833
16,604.03674,613.5147,491.2353
17,680.79083,690.13074,553.8889
18,781.9123,791.4503,638.39764
19,860.8263,870.3316,706.0947
20,944.3381,953.80475,777.45715
21,1040.303,1049.7922,850.1342
22,1137.6522,1147.166,924.5929
23,1207.8877,1217.1957,984.4783
24,1310.4567,1319.7567,1069.5333
25,1416.6184,1425.9015,1161.1354
26,1507.5214,1516.698,1239.6553
27,1606.2937,1615.3889,1326.6085
28,1693.8226,1702.766,1401.9877
29,1823.5724,1832.5265,1513.4276
30,1961.9398,1970.8882,1630.5548
31,2076.1997,2085.0947,1732.3267
32,2201.3408,2210.2122,1834.7765
33,2339.0107,2347.852,1949.3761
34,2473.6672,2482.5193,2055.627
35,2613.097,2621.9412,2168.5493
36,2738.9744,2747.7493,2275.5496
37,2899.2432,2908.0327,2409.8137
38,3002.865,3011.5547,2500.371
39,3148.3538,3157.0283,2620.2449
40,3315.3975,3324.0647,2761.7952
41,3502.446,3511.151,2917.3901
42,3665.2646,3673.9402,3055.1074
43,3837.8394,3846.5222,3197.0095
44,3980.8828,3989.5232,3318.2283
45,4159.0493,4167.6523,3474.9478
46,4325.664,4334.2563,3612.7188
47,4554.375,4563.013,3812.9397
48,4753.507,4762.142,3984.0774
49,4975.9746,4984.6475,4166.9346
50,5185.9014,5194.5703,4340.551
